Value,State,Volume
529,"1,1",High
529,"1,1",High
529,"1,1",High
529,"1,1",High
529,"1,1",High
529,"1,1",High
529,"1,1",High
529,"1,1",High
529,"1,1",High
529,"1,1",High
529,"1,1",High
529,"1,1",High
529,"1,1",High
529,"1,1",High
529,"1,1",High
529,"1,1",High
529,"1,1",High
529,"1,1",High
529,"1,1",High
529,"1,1",High
529,"1,1",High
529,"1,1",High
528,"1,1",High
528,"1,1",High
528,"1,1",High
528,"1,1",High
528,"1,1",High
528,"1,1",High
528,"1,1",High
528,"1,1",High
528,"1,1",High
528,"1,1",High
528,"1,1",High
528,"1,1",High
528,"1,1",High
528,"1,1",High
528,"1,1",High
528,"1,1",High
528,"1,1",High
528,"1,1",High
528,"1,1",High
528,"1,1",High
528,"1,1",High
528,"1,1",High
528,"1,1",High
528,"1,1",High
528,"1,1",High
528,"1,1",High
528,"1,1",High
528,"1,1",High
528,"1,1",High
528,"1,1",High
528,"1,1",High
528,"1,1",High
528,"1,1",High
528,"1,1",High
528,"1,1",High
528,"1,1",High
528,"1,1",High
528,"1,1",High
527,"1,1",High
527,"1,1",High
527,"1,1",High
527,"1,1",High
527,"1,1",High
527,"1,1",High
527,"1,1",High
527,"1,1",High
527,"1,1",High
527,"1,1",High
527,"1,1",High
527,"1,1",High
527,"1,1",High
527,"1,1",High
527,"1,1",High
527,"1,1",High
527,"1,1",High
527,"1,1",High
527,"1,1",High
527,"1,1",High
527,"1,1",High
527,"1,1",High
527,"1,1",High
527,"1,1",High
527,"1,1",High
527,"1,1",High
527,"1,1",High
527,"1,1",High
527,"1,1",High
527,"1,1",High
527,"1,1",High
527,"1,1",High
526,"1,1",High
526,"1,1",High
526,"1,1",High
526,"1,1",High
526,"1,1",High
526,"1,1",High
526,"1,1",High
526,"1,1",High
526,"1,1",High
526,"1,1",High
526,"1,1",High
526,"1,1",High
526,"1,1",High
526,"1,1",High
526,"1,1",High
526,"1,1",High
526,"1,1",High
526,"1,1",High
526,"1,1",High
526,"1,1",High
526,"1,1",High
526,"1,1",High
526,"1,1",High
526,"1,1",High
526,"1,1",High
526,"1,1",High
526,"1,1",High
526,"1,1",High
526,"1,1",High
526,"1,1",High
526,"1,1",High
526,"1,1",High
526,"1,1",High
526,"1,1",High
526,"1,1",High
526,"1,1",High
526,"1,1",High
526,"1,1",High
526,"1,1",High
526,"1,1",High
526,"1,1",High
526,"1,1",High
526,"1,1",High
526,"1,1",High
526,"1,1",High
526,"1,1",High
526,"1,1",High
526,"1,1",High
526,"1,1",High
526,"1,1",High
525,"1,1",High
525,"1,1",High
525,"1,1",High
525,"1,1",High
525,"1,1",High
525,"1,1",High
525,"1,1",High
525,"1,1",High
525,"1,1",High
525,"1,1",High
525,"1,1",High
525,"1,1",High
525,"1,1",High
525,"1,1",High
525,"1,1",High
525,"1,1",High
525,"1,1",High
525,"1,1",High
525,"1,1",High
525,"1,1",High
525,"1,1",High
525,"1,1",High
525,"1,1",High
525,"1,1",High
525,"1,1",High
525,"1,1",High
525,"1,1",High
525,"1,1",High
525,"1,1",High
525,"1,1",High
525,"1,1",High
525,"1,1",High
525,"1,1",High
525,"1,1",High
524,"1,1",High
524,"1,1",High
524,"1,1",High
524,"1,1",High
524,"1,1",High
524,"1,1",High
524,"1,1",High
524,"1,1",High
524,"1,1",High
524,"1,1",High
524,"1,1",High
524,"1,1",High
524,"1,1",High
524,"1,1",High
524,"1,1",High
524,"1,1",High
524,"1,1",High
524,"1,1",High
524,"1,1",High
524,"1,1",High
524,"1,1",High
524,"1,1",High
524,"1,1",High
524,"1,1",High
524,"1,1",High
524,"1,1",High
524,"1,1",High
524,"1,1",High
524,"1,1",High
524,"1,1",High
524,"1,1",High
524,"1,1",High
524,"1,1",High
524,"1,1",High
524,"1,1",High
524,"1,1",High
524,"1,1",High
524,"1,1",High
524,"1,1",High
523,"1,1",High
523,"1,1",High
523,"1,1",High
523,"1,1",High
523,"1,1",High
523,"1,1",High
523,"1,1",High
523,"1,1",High
523,"1,1",High
523,"1,1",High
523,"1,1",High
523,"1,1",High
523,"1,1",High
523,"1,1",High
523,"1,1",High
523,"1,1",High
523,"1,1",High
523,"1,1",High
523,"1,1",High
523,"1,1",High
523,"1,1",High
523,"1,1",High
523,"1,1",High
523,"1,1",High
523,"1,1",High
523,"1,1",High
523,"1,1",High
523,"1,1",High
523,"1,1",High
523,"1,1",High
523,"1,1",High
523,"1,1",High
523,"1,1",High
523,"1,1",High
523,"1,1",High
523,"1,1",High
523,"1,1",High
523,"1,1",High
523,"1,1",High
523,"1,1",High
522,"1,1",High
522,"1,1",High
522,"1,1",High
522,"1,1",High
522,"1,1",High
522,"1,1",High
522,"1,1",High
522,"1,1",High
522,"1,1",High
522,"1,1",High
522,"1,1",High
522,"1,1",High
522,"1,1",High
522,"1,1",High
522,"1,1",High
522,"1,1",High
522,"1,1",High
522,"1,1",High
522,"1,1",High
522,"1,1",High
522,"1,1",High
522,"1,1",High
522,"1,1",High
522,"1,1",High
522,"1,1",High
522,"1,1",High
522,"1,1",High
522,"1,1",High
522,"1,1",High
522,"1,1",High
522,"1,1",High
522,"1,1",High
522,"1,1",High
522,"1,1",High
522,"1,1",High
522,"1,1",High
522,"1,1",High
521,"1,1",High
521,"1,1",High
521,"1,1",High
521,"1,1",High
521,"1,1",High
521,"1,1",High
521,"1,1",High
521,"1,1",High
521,"1,1",High
521,"1,1",High
521,"1,1",High
521,"1,1",High
521,"1,1",High
521,"1,1",High
521,"1,1",High
521,"1,1",High
521,"1,1",High
521,"1,1",High
521,"1,1",High
521,"1,1",High
521,"1,1",High
521,"1,1",High
521,"1,1",High
521,"1,1",High
521,"1,1",High
521,"1,1",High
521,"1,1",High
521,"1,1",High
521,"1,1",High
521,"1,1",High
521,"1,1",High
521,"1,1",High
521,"1,1",High
521,"1,1",High
521,"1,1",High
521,"1,1",High
521,"1,1",High
521,"1,1",High
521,"1,1",High
520,"1,1",High
520,"1,1",High
520,"1,1",High
520,"1,1",High
520,"1,1",High
520,"1,1",High
520,"1,1",High
520,"1,1",High
520,"1,1",High
520,"1,1",High
520,"1,1",High
